index,title,link,scraped_at
1,Google's Liquid Cooling,https://chipsandcheese.com/p/googles-liquid-cooling-at-hot-chips,2025-08-25T21:38:20
2,chipsandcheese.com,https://news.ycombinator.com/from?site=chipsandcheese.com,2025-08-25T21:38:20
3,"Show HN: Base, an SQLite database editor for macOS",https://menial.co.uk/base/,2025-08-25T21:38:20
4,menial.co.uk,https://news.ycombinator.com/from?site=menial.co.uk,2025-08-25T21:38:20
5,Meta just suspended the Facebook account of Neal Stephenson,https://twitter.com/nealstephenson/status/1959759051732213812,2025-08-25T21:38:20
6,twitter.com/nealstephenson,https://news.ycombinator.com/from?site=twitter.com/nealstephenson,2025-08-25T21:38:20
7,What are OKLCH colors?,https://jakub.kr/components/oklch-colors,2025-08-25T21:38:20
8,jakub.kr,https://news.ycombinator.com/from?site=jakub.kr,2025-08-25T21:38:20
9,Building the mouse Logitech won't make,https://samwilkinson.io/posts/2025-08-24-mx-ergo-mods,2025-08-25T21:38:20
10,samwilkinson.io,https://news.ycombinator.com/from?site=samwilkinson.io,2025-08-25T21:38:20
